Gradient Profiler Text Data File: hct116_polysome_rich.csv
Version: 1.88
Date: 2017-02-13
Time: 16:51:40

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
28.60, 0.250099, , 
28.64, 0.248612, , 
28.68, 0.247324, , 
28.71, 0.245986, , 
28.75, 0.244536, , 
28.79, 0.242885, , 
28.82, 0.241692, , 
28.86, 0.239997, , 
28.90, 0.238383, , 
28.93, 0.237035, , 
28.97, 0.235774, , 
29.01, 0.234313, , 
29.04, 0.232828, , 
29.08, 0.231311, , 
29.12, 0.229868, , 
29.15, 0.228338, , 
29.19, 0.226813, , 
29.23, 0.225281, , 
29.26, 0.223905, , 
29.30, 0.222178, , 
29.34, 0.220622, , 
29.37, 0.219201, , 
29.41, 0.217666, , 
29.45, 0.216225, , 
29.48, 0.214986, , 
29.52, 0.213531, , 
29.56, 0.212242, , 
29.59, 0.211049, , 
29.63, 0.209552, , 
29.67, 0.208180, , 
29.70, 0.207171, , 
29.74, 0.205686, , 
29.78, 0.204421, , 
29.81, 0.203232, , 
29.85, 0.202128, , 
29.89, 0.200857, , 
29.92, 0.199733, , 
29.96, 0.198609, , 
30.00, 0.197485, , 
30.03, 0.196450, , 
30.07, 0.195405, , 
30.11, 0.194350, , 
30.14, 0.193583, , 
30.18, 0.192622, , 
30.22, 0.191833, , 
30.25, 0.191109, , 
30.29, 0.190611, , 
30.33, 0.189981, , 
30.36, 0.189587, , 
30.40, 0.189285, , 
30.44, 0.189085, , 
30.47, 0.189117, , 
30.51, 0.189115, , 
30.55, 0.189507, , 
30.58, 0.190027, , 
30.62, 0.190734, , 
30.66, 0.191860, , 
30.69, 0.193119, , 
30.73, 0.194614, , 
30.77, 0.196662, , 
30.80, 0.198930, , 
30.84, 0.201755, , 
30.88, 0.205030, , 
30.91, 0.208785, , 
30.95, 0.213354, , 
30.99, 0.219189, , 
31.02, 0.224375, , 
31.06, 0.231256, , 
31.10, 0.239517, , 
31.13, 0.247663, , 
31.17, 0.256273, , 
31.21, 0.267293, , 
31.24, 0.277911, , 
31.28, 0.290000, , 
31.32, 0.302577, , 
31.35, 0.315181, , 
31.39, 0.329074, , 
31.43, 0.338937, , 
31.46, 0.356202, , 
31.50, 0.372322, , 
